stage,suite,task,seed,cond,repeat,dir,success,turns,planner_calls,tokens,perc,act,maxred,env_steps,reason,wall_s
P0,libero_spatial_task,7,9,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260814-18:51:14_libero_spatial_task_t7_s9/,False,40,40,3492541,28,10,16,10,grasp_fail,662.0
P0,libero_spatial_task,7,10,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260814-14:09:41_libero_spatial_task_t7_s10/,True,40,40,3730852,20,11,9,11,success,953.0
P0,libero_spatial_task,9,1,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260813-15:38:25_libero_spatial_task_t9_s1/,False,40,40,3645018,30,10,15,10,grasp_fail,908.0
P0,libero_spatial_task,9,2,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260813-15:38:56_libero_spatial_task_t9_s2/,True,38,38,3390791,18,12,7,12,success,814.0
P0,libero_spatial_task,9,3,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260813-15:42:48_libero_spatial_task_t9_s3/,False,40,40,3527379,24,7,14,7,grasp_fail,806.0
P0,libero_spatial_task,9,4,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260813-15:52:31_libero_spatial_task_t9_s4/,True,39,39,3430382,20,10,9,10,success,974.0
P0,libero_spatial_task,9,5,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260813-15:53:34_libero_spatial_task_t9_s5/,True,37,37,2729768,20,11,10,11,success,818.0
P0,libero_spatial_task,9,6,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260813-15:53:36_libero_spatial_task_t9_s6/,False,40,40,3565075,29,9,13,9,placement_fail,785.0
P0,libero_spatial_task,9,7,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260813-15:56:15_libero_spatial_task_t9_s7/,True,40,40,3339656,25,10,6,10,success,1132.0
P0,libero_spatial_task,9,8,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260813-16:06:42_libero_spatial_task_t9_s8/,False,40,40,3844106,20,12,8,12,placement_fail,1166.0
P0,libero_spatial_task,9,9,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260813-16:07:13_libero_spatial_task_t9_s9/,True,32,32,2754006,16,10,9,10,success,758.0
P0,libero_spatial_task,9,10,baseline,1,/hw-tbo/yjx/workspace/RPent/logs/20260813-16:08:46_libero_spatial_task_t9_s10/,True,40,40,3692132,24,12,8,12,success,1149.0
P0,libero_spatial_task,0,1,baseline,2,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260814-19:05:48_baseline_libero_spatial_task_t0_s1_r2,False,40,40,2720206,28,8,14,8,grasp_fail,580.0
P0,libero_spatial_task,0,1,baseline,3,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260814-19:05:48_baseline_libero_spatial_task_t0_s1_r3,False,21,21,1494874,13,0,13,0,infra_crash,730.0
P0,libero_spatial_task,0,2,baseline,2,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260814-19:19:20_baseline_libero_spatial_task_t0_s2_r2,False,40,40,3557015,26,8,8,8,placement_fail,388.0
P0,libero_spatial_task,0,2,baseline,3,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260814-19:21:22_baseline_libero_spatial_task_t0_s2_r3,True,40,40,3604568,25,9,10,9,success,451.0
P0,libero_spatial_task,0,3,baseline,2,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260814-19:31:03_baseline_libero_spatial_task_t0_s3_r2,False,40,40,3453831,29,5,13,5,grasp_fail,471.0
P0,libero_spatial_task,0,3,baseline,3,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260814-19:31:14_baseline_libero_spatial_task_t0_s3_r3,False,40,40,3854976,24,10,7,10,grasp_fail,741.0
P0,libero_spatial_task,0,4,baseline,2,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260814-19:43:36_baseline_libero_spatial_task_t0_s4_r2,False,40,40,3638641,29,8,7,8,placement_fail,477.0
P0,libero_spatial_task,0,4,baseline,3,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260814-19:44:42_baseline_libero_spatial_task_t0_s4_r3,False,40,40,3753767,32,9,20,9,placement_fail,799.0
P0,libero_spatial_task,0,5,baseline,2,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260814-19:57:23_baseline_libero_spatial_task_t0_s5_r2,True,31,31,1685382,18,10,6,9,success,544.0
P0,libero_spatial_task,0,5,baseline,3,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260814-19:58:01_baseline_libero_spatial_task_t0_s5_r3,False,40,40,2591259,34,11,14,11,placement_fail,677.0
P0,libero_spatial_task,0,6,baseline,3,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260814-20:11:57_baseline_libero_spatial_task_t0_s6_r3,True,34,34,2462547,18,9,9,9,success,637.0
P0,libero_spatial_task,0,6,baseline,2,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260814-20:10:51_baseline_libero_spatial_task_t0_s6_r2,False,40,40,3552331,25,12,8,12,placement_fail,790.0
P0,libero_spatial_task,0,7,baseline,2,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260814-20:26:17_baseline_libero_spatial_task_t0_s7_r2,False,15,15,864867,7,0,5,0,infra_crash,473.0
P0,libero_spatial_task,0,7,baseline,3,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260814-20:27:16_baseline_libero_spatial_task_t0_s7_r3,False,40,40,3111032,26,9,11,9,grasp_fail,568.0
P0,libero_spatial_task,0,8,baseline,2,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260814-20:39:11_baseline_libero_spatial_task_t0_s8_r2,True,32,32,2572689,23,9,10,8,success,544.0
P0,libero_spatial_task,0,8,baseline,3,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260814-20:39:31_baseline_libero_spatial_task_t0_s8_r3,True,32,32,2483755,21,10,7,10,success,646.0
P0,libero_spatial_task,0,9,baseline,2,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260814-20:52:54_baseline_libero_spatial_task_t0_s9_r2,True,31,31,2015751,20,8,10,8,success,464.0
P0,libero_spatial_task,0,9,baseline,3,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260814-20:53:05_baseline_libero_spatial_task_t0_s9_r3,True,32,32,1613591,17,13,7,13,success,558.0
P0,libero_spatial_task,0,10,baseline,2,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260814-21:04:45_baseline_libero_spatial_task_t0_s10_r2,True,30,30,2419283,19,10,8,9,success,571.0
P0,libero_spatial_task,0,10,baseline,3,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260814-21:06:12_baseline_libero_spatial_task_t0_s10_r3,True,40,40,3632804,22,9,8,9,success,593.0
P0,libero_spatial_task,7,1,baseline,3,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260814-21:18:43_baseline_libero_spatial_task_t7_s1_r3,False,40,40,3935685,24,9,10,9,grasp_fail,693.0
P0,libero_spatial_task,7,1,baseline,2,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260814-21:18:36_baseline_libero_spatial_task_t7_s1_r2,False,40,40,3821589,28,9,12,9,grasp_fail,810.0
P0,libero_spatial_task,7,2,baseline,3,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260814-21:34:48_baseline_libero_spatial_task_t7_s2_r3,False,40,40,3537256,22,10,8,10,grasp_fail,705.0
P0,libero_spatial_task,7,2,baseline,2,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260814-21:34:35_baseline_libero_spatial_task_t7_s2_r2,True,39,39,3495316,24,11,7,11,success,741.0
P0,libero_spatial_task,7,3,baseline,3,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260814-21:50:48_baseline_libero_spatial_task_t7_s3_r3,False,40,40,3536981,28,9,13,9,grasp_fail,528.0
P0,libero_spatial_task,7,3,baseline,2,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260814-21:49:17_baseline_libero_spatial_task_t7_s3_r2,True,40,40,3658834,22,10,9,10,success,713.0
P0,libero_spatial_task,7,4,baseline,2,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260814-22:02:59_baseline_libero_spatial_task_t7_s4_r2,False,40,40,2607188,22,11,9,11,placement_fail,638.0
P0,libero_spatial_task,7,4,baseline,3,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260814-22:04:40_baseline_libero_spatial_task_t7_s4_r3,False,40,40,3540298,23,10,9,10,grasp_fail,570.0
P0,libero_spatial_task,7,5,baseline,2,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260814-22:16:24_baseline_libero_spatial_task_t7_s5_r2,True,40,40,3845890,24,11,9,11,success,736.0
P0,libero_spatial_task,7,5,baseline,3,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260814-22:17:53_baseline_libero_spatial_task_t7_s5_r3,True,40,40,3515325,23,11,12,11,success,721.0
P0,libero_spatial_task,7,6,baseline,2,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260814-22:31:45_baseline_libero_spatial_task_t7_s6_r2,False,40,40,3317847,28,6,15,6,grasp_fail,440.0
P0,libero_spatial_task,7,6,baseline,3,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260814-22:32:56_baseline_libero_spatial_task_t7_s6_r3,False,40,40,3786120,37,9,20,9,grasp_fail,583.0
P0,libero_spatial_task,7,7,baseline,2,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260814-22:43:36_baseline_libero_spatial_task_t7_s7_r2,True,32,32,2170481,18,9,6,9,success,493.0
P0,libero_spatial_task,7,7,baseline,3,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260814-22:45:21_baseline_libero_spatial_task_t7_s7_r3,True,40,40,3037451,26,11,9,11,success,837.0
P0,libero_spatial_task,7,8,baseline,3,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260814-22:59:19_baseline_libero_spatial_task_t7_s8_r3,False,40,40,2595856,26,11,9,11,grasp_fail,575.0
P0,libero_spatial_task,7,8,baseline,2,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260814-22:59:19_baseline_libero_spatial_task_t7_s8_r2,False,40,40,3829263,21,13,8,13,placement_fail,841.0
P0,libero_spatial_task,7,9,baseline,2,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260814-23:13:47_baseline_libero_spatial_task_t7_s9_r2,True,35,35,3035009,22,7,12,7,success,535.0
P0,libero_spatial_task,7,9,baseline,3,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260814-23:15:13_baseline_libero_spatial_task_t7_s9_r3,True,40,40,3774472,25,10,12,10,success,565.0
P0,libero_spatial_task,7,10,baseline,2,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260814-23:26:36_baseline_libero_spatial_task_t7_s10_r2,False,40,40,3628012,29,10,12,10,grasp_fail,640.0
P0,libero_spatial_task,7,10,baseline,3,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260814-23:27:05_baseline_libero_spatial_task_t7_s10_r3,False,40,40,3725728,28,12,12,12,placement_fail,612.0
P0,libero_spatial_task,9,1,baseline,2,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260814-23:39:57_baseline_libero_spatial_task_t9_s1_r2,False,40,40,3132699,22,15,6,15,placement_fail,711.0
P0,libero_spatial_task,9,1,baseline,3,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260814-23:41:40_baseline_libero_spatial_task_t9_s1_r3,False,40,40,2860827,28,7,9,7,grasp_fail,671.0
P0,libero_spatial_task,9,2,baseline,2,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260814-23:55:21_baseline_libero_spatial_task_t9_s2_r2,True,38,38,3435782,21,9,8,9,success,606.0
P0,libero_spatial_task,9,2,baseline,3,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260814-23:56:05_baseline_libero_spatial_task_t9_s2_r3,False,40,40,3572646,20,13,6,13,placement_fail,688.0
P0,libero_spatial_task,9,3,baseline,3,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260815-00:10:12_baseline_libero_spatial_task_t9_s3_r3,False,40,40,3694393,24,10,9,10,grasp_fail,514.0
P0,libero_spatial_task,9,3,baseline,2,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260815-00:09:44_baseline_libero_spatial_task_t9_s3_r2,True,36,36,3342502,20,10,4,10,success,552.0
P0,libero_spatial_task,9,4,baseline,2,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260815-00:21:33_baseline_libero_spatial_task_t9_s4_r2,True,35,35,2943351,18,9,8,9,success,490.0
P0,libero_spatial_task,9,4,baseline,3,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260815-00:23:23_baseline_libero_spatial_task_t9_s4_r3,True,37,37,3291080,26,9,14,9,success,564.0
P0,libero_spatial_task,9,5,baseline,2,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260815-00:34:33_baseline_libero_spatial_task_t9_s5_r2,True,34,34,2833100,20,9,11,9,success,477.0
P0,libero_spatial_task,9,5,baseline,3,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260815-00:35:13_baseline_libero_spatial_task_t9_s5_r3,True,31,31,2421636,19,10,9,9,success,506.0
P0,libero_spatial_task,9,6,baseline,2,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260815-00:45:31_baseline_libero_spatial_task_t9_s6_r2,False,40,40,3704797,29,14,10,14,placement_fail,572.0
P0,libero_spatial_task,9,6,baseline,3,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260815-00:47:37_baseline_libero_spatial_task_t9_s6_r3,False,40,40,3802246,28,6,7,6,grasp_fail,671.0
P0,libero_spatial_task,9,7,baseline,2,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260815-00:59:15_baseline_libero_spatial_task_t9_s7_r2,True,40,40,3587726,18,13,5,13,success,590.0
P0,libero_spatial_task,9,7,baseline,3,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260815-01:01:39_baseline_libero_spatial_task_t9_s7_r3,False,40,40,3649993,30,10,17,10,grasp_fail,561.0
P0,libero_spatial_task,9,8,baseline,2,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260815-01:12:59_baseline_libero_spatial_task_t9_s8_r2,True,31,31,2201259,22,9,12,9,success,530.0
P0,libero_spatial_task,9,8,baseline,3,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260815-01:13:24_baseline_libero_spatial_task_t9_s8_r3,False,40,40,3358012,22,12,6,12,placement_fail,584.0
P0,libero_spatial_task,9,9,baseline,2,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260815-01:25:39_baseline_libero_spatial_task_t9_s9_r2,False,40,40,3753607,28,11,15,11,placement_fail,590.0
P0,libero_spatial_task,9,9,baseline,3,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260815-01:27:33_baseline_libero_spatial_task_t9_s9_r3,True,40,40,3778029,25,13,7,13,success,645.0
P0,libero_spatial_task,9,10,baseline,2,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260815-01:40:14_baseline_libero_spatial_task_t9_s10_r2,True,40,40,3467652,24,8,10,8,success,501.0
P0,libero_spatial_task,9,10,baseline,3,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260815-01:40:28_baseline_libero_spatial_task_t9_s10_r3,False,40,40,3638784,27,7,8,7,grasp_fail,545.0
P0,libero_spatial_task,0,2,ours,3,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260817-13:51:45_ours_libero_spatial_task_t0_s2_r3,False,18,18,1272680,10,0,9,0,infra_crash,526.0
P0,libero_spatial_task,0,3,ours,2,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260817-13:51:45_ours_libero_spatial_task_t0_s3_r2,False,40,40,3504378,24,10,6,10,grasp_fail,534.0
P0,libero_spatial_task,0,2,ours,2,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260817-13:51:45_ours_libero_spatial_task_t0_s2_r2,False,40,40,3580034,25,9,13,9,placement_fail,549.0
P0,libero_spatial_task,0,1,ours,2,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260817-13:51:45_ours_libero_spatial_task_t0_s1_r2,False,40,40,2917678,31,3,26,3,reach_plan_fail,620.0
P0,libero_spatial_task,0,1,ours,3,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260817-13:51:45_ours_libero_spatial_task_t0_s1_r3,False,40,40,3669852,29,6,14,6,grasp_fail,665.0
P0,libero_spatial_task,0,3,ours,1,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260817-13:51:45_ours_libero_spatial_task_t0_s3_r1,False,40,40,2240082,29,14,9,14,placement_fail,704.0
P0,libero_spatial_task,0,1,ours,1,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260817-13:51:45_ours_libero_spatial_task_t0_s1_r1,False,40,40,3690728,23,12,6,12,placement_fail,741.0
P0,libero_spatial_task,0,2,ours,1,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260817-13:51:45_ours_libero_spatial_task_t0_s2_r1,False,40,40,3315028,29,7,10,7,grasp_fail,791.0
P0,libero_spatial_task,0,5,ours,1,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260817-14:02:52_ours_libero_spatial_task_t0_s5_r1,True,29,29,2100803,15,8,5,8,success,417.0
P0,libero_spatial_task,0,4,ours,2,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260817-14:00:55_ours_libero_spatial_task_t0_s4_r2,False,40,40,2970063,26,10,11,10,grasp_fail,625.0
P0,libero_spatial_task,0,4,ours,1,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260817-14:00:40_ours_libero_spatial_task_t0_s4_r1,False,40,40,3740754,24,11,6,11,placement_fail,728.0
P0,libero_spatial_task,0,5,ours,2,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260817-14:03:31_ours_libero_spatial_task_t0_s5_r2,True,40,40,3382034,26,7,13,7,success,633.0
P0,libero_spatial_task,0,3,ours,3,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260817-14:00:33_ours_libero_spatial_task_t0_s3_r3,True,36,36,3089803,19,9,7,9,success,819.0
P0,libero_spatial_task,0,4,ours,3,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260817-14:02:07_ours_libero_spatial_task_t0_s4_r3,False,40,40,3793337,28,8,18,8,placement_fail,843.0
P0,libero_spatial_task,0,6,ours,1,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260817-14:04:58_ours_libero_spatial_task_t0_s6_r1,False,40,40,3396208,22,12,5,12,placement_fail,676.0
P0,libero_spatial_task,0,6,ours,2,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260817-14:09:49_ours_libero_spatial_task_t0_s6_r2,False,40,40,3228244,27,5,15,5,grasp_fail,465.0
P0,libero_spatial_task,0,7,ours,1,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260817-14:12:49_ours_libero_spatial_task_t0_s7_r1,False,40,40,3392000,25,7,21,5,grasp_fail,555.0
P0,libero_spatial_task,0,5,ours,3,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260817-14:04:08_ours_libero_spatial_task_t0_s5_r3,True,40,40,4054771,26,9,7,9,success,1107.0
P0,libero_spatial_task,0,7,ours,2,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260817-14:14:05_ours_libero_spatial_task_t0_s7_r2,False,40,40,3503450,23,10,12,7,reach_plan_fail,597.0
P0,libero_spatial_task,0,6,ours,3,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260817-14:11:20_ours_libero_spatial_task_t0_s6_r3,True,32,32,2159117,18,10,7,10,success,809.0
P0,libero_spatial_task,0,8,ours,2,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260817-14:16:14_ours_libero_spatial_task_t0_s8_r2,True,37,37,3159785,20,8,9,8,success,533.0
P0,libero_spatial_task,0,8,ours,3,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260817-14:17:36_ours_libero_spatial_task_t0_s8_r3,True,40,40,2641215,28,8,12,8,success,456.0
P0,libero_spatial_task,0,7,ours,3,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260817-14:14:12_ours_libero_spatial_task_t0_s7_r3,True,40,40,3563400,22,10,8,10,success,663.0
P0,libero_spatial_task,0,8,ours,1,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260817-14:16:10_ours_libero_spatial_task_t0_s8_r1,True,34,34,2555026,19,9,9,9,success,791.0
P0,libero_spatial_task,0,9,ours,1,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260817-14:22:04_ours_libero_spatial_task_t0_s9_r1,True,40,40,3427742,25,8,9,8,success,492.0
P0,libero_spatial_task,0,9,ours,3,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260817-14:24:02_ours_libero_spatial_task_t0_s9_r3,True,35,35,2731223,19,8,7,8,success,616.0
P0,libero_spatial_task,0,10,ours,3,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260817-14:25:13_ours_libero_spatial_task_t0_s10_r3,False,40,40,3689252,24,10,6,10,placement_fail,718.0
P0,libero_spatial_task,7,1,ours,1,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260817-14:25:17_ours_libero_spatial_task_t7_s1_r1,False,40,40,3575058,25,8,14,8,grasp_fail,752.0
P0,libero_spatial_task,0,9,ours,2,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260817-14:22:36_ours_libero_spatial_task_t0_s9_r2,True,36,36,3464966,19,9,6,9,success,935.0
P0,libero_spatial_task,0,10,ours,2,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260817-14:25:07_ours_libero_spatial_task_t0_s10_r2,False,40,40,3562997,24,9,8,9,placement_fail,867.0
P0,libero_spatial_task,7,1,ours,2,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260817-14:29:23_ours_libero_spatial_task_t7_s1_r2,False,40,40,3655663,26,6,11,6,grasp_fail,700.0
P0,libero_spatial_task,0,10,ours,1,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260817-14:24:50_ours_libero_spatial_task_t0_s10_r1,False,40,40,3257650,27,10,11,10,placement_fail,1190.0
P0,libero_spatial_task,7,1,ours,3,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260817-14:30:16_ours_libero_spatial_task_t7_s1_r3,False,40,40,4054845,17,16,10,13,reach_plan_fail,888.0
P0,libero_spatial_task,7,2,ours,2,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260817-14:37:11_ours_libero_spatial_task_t7_s2_r2,True,31,31,2519406,13,10,8,10,success,513.0
P0,libero_spatial_task,7,2,ours,1,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260817-14:34:19_ours_libero_spatial_task_t7_s2_r1,False,40,40,3718672,23,11,10,7,reach_plan_fail,785.0
P0,libero_spatial_task,7,2,ours,3,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260817-14:37:49_ours_libero_spatial_task_t7_s2_r3,True,38,38,3486592,18,10,10,9,success,628.0
P0,libero_spatial_task,7,3,ours,1,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260817-14:38:12_ours_libero_spatial_task_t7_s3_r1,True,40,40,3684602,28,10,17,10,success,803.0
P0,libero_spatial_task,7,3,ours,2,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260817-14:39:35_ours_libero_spatial_task_t7_s3_r2,True,36,36,3275818,16,12,8,12,success,734.0
P0,libero_spatial_task,7,3,ours,3,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260817-14:41:03_ours_libero_spatial_task_t7_s3_r3,False,40,40,3418977,25,12,13,12,placement_fail,714.0
P0,libero_spatial_task,7,4,ours,2,/hw-tbo/yjx/workspace/RPent/logs/pg_exp/20260817-14:45:05_ours_libero_spatial_task_t7_s4_r2,False,40,40,3299817,26,12,14,12,grasp_fail,680.0
