src,cond,task,seed,repeat,run_id,success,result,mechanism,turns,n_picks,hold_turn,n_release,rel_fails,first_release_turn,stall_span,moves_after_hold,perc_after_hold,guard_blocks,near_repeat_rate
pg,hardcap,0,7,3,20260817-16:39:26_hardcap_libero_spatial_task_t0_s7_r3,False,policy_fail,place_stall,40,2,22,0,0,,,7,7,1,0.0
pg,hardcap,0,10,2,20260817-16:51:54_hardcap_libero_spatial_task_t0_s10_r2,False,success,place_fail,40,2,21,1,1,33,12,5,10,0,0.0
pg,hardcap,7,1,1,20260817-16:55:37_hardcap_libero_spatial_task_t7_s1_r1,False,policy_fail,place_stall,40,3,26,0,0,,,2,9,1,0.08
pg,hardcap,7,1,3,20260817-16:58:22_hardcap_libero_spatial_task_t7_s1_r3,False,policy_fail,place_stall,40,1,40,0,0,,,0,0,0,0.2
pg,hardcap,7,1,2,20260817-16:56:36_hardcap_libero_spatial_task_t7_s1_r2,True,success,success,38,1,22,1,0,35,13,5,7,1,0.25
pg,hardcap,7,2,1,20260817-16:59:57_hardcap_libero_spatial_task_t7_s2_r1,True,success,success,38,3,15,1,0,36,21,6,11,2,0.0
pg,hardcap,7,2,2,20260817-17:03:49_hardcap_libero_spatial_task_t7_s2_r2,False,policy_fail,place_stall,40,3,35,0,0,,,1,3,1,0.33
pg,hardcap,7,2,3,20260817-17:05:04_hardcap_libero_spatial_task_t7_s2_r3,False,policy_fail,place_fail,40,1,24,1,1,34,10,6,8,1,0.1
pg,hardcap,7,3,1,20260817-17:06:51_hardcap_libero_spatial_task_t7_s3_r1,False,policy_fail,place_fail,40,2,21,1,1,33,12,5,11,1,0.12
pg,hardcap,7,4,1,20260817-17:10:27_hardcap_libero_spatial_task_t7_s4_r1,True,success,success,33,2,22,1,0,31,9,4,3,1,0.0
pg,hardcap,7,3,3,20260817-17:08:48_hardcap_libero_spatial_task_t7_s3_r3,True,success,success,37,2,24,1,0,35,11,5,4,2,0.0
pg,hardcap,7,3,2,20260817-17:08:00_hardcap_libero_spatial_task_t7_s3_r2,False,policy_fail,place_stall,40,3,24,0,0,,,4,9,2,0.29
pg,hardcap,7,4,2,20260817-17:12:07_hardcap_libero_spatial_task_t7_s4_r2,True,success,success,33,2,20,1,0,31,11,2,6,2,0.0
