src,cond,task,seed,repeat,result,run_id,n_turns,n_picks,picks_held,n_release,rel_term,first_hold_pick,n_moves,finish_status
sm,baseline,7,2,2,success,20260818-16:34:28_baseline_libero_spatial_task_t7_s2_r2,33,2,2,1,True,1,3,success
pg,hardcap,7,2,1,success,20260817-16:59:57_hardcap_libero_spatial_task_t7_s2_r1,38,3,3,1,True,1,9,success
pg,hardcap,7,2,2,policy_fail,20260817-17:03:49_hardcap_libero_spatial_task_t7_s2_r2,40,3,1,0,False,3,8,
pg,hardcap,7,2,3,policy_fail,20260817-17:05:04_hardcap_libero_spatial_task_t7_s2_r3,40,1,1,1,False,1,10,
pg,ours,7,2,2,success,20260817-14:37:11_ours_libero_spatial_task_t7_s2_r2,31,1,1,1,True,1,6,success
pg,ours,7,2,1,policy_fail,20260817-14:34:19_ours_libero_spatial_task_t7_s2_r1,40,4,0,0,False,,6,
pg,ours,7,2,3,success,20260817-14:37:49_ours_libero_spatial_task_t7_s2_r3,38,1,1,1,False,1,7,success
sm,structured,7,2,1,success,20260818-16:04:37_structured_libero_spatial_task_t7_s2_r1,31,1,1,1,True,1,6,success
pg,baseline,7,3,1,policy_fail,20260814-18:33:48_libero_spatial_task_t7_s3,40,1,1,0,False,1,9,
pg,baseline,7,3,3,policy_fail,20260814-21:50:48_baseline_libero_spatial_task_t7_s3_r3,40,2,1,0,False,2,6,
pg,baseline,7,3,2,success,20260814-21:49:17_baseline_libero_spatial_task_t7_s3_r2,40,1,1,1,True,1,7,
pg,hardcap,7,3,1,policy_fail,20260817-17:06:51_hardcap_libero_spatial_task_t7_s3_r1,40,2,2,1,False,1,6,
pg,hardcap,7,3,3,success,20260817-17:08:48_hardcap_libero_spatial_task_t7_s3_r3,37,2,1,1,True,2,8,success
pg,hardcap,7,3,2,policy_fail,20260817-17:08:00_hardcap_libero_spatial_task_t7_s3_r2,40,3,2,0,False,1,7,
pg,ours,7,3,1,success,20260817-14:38:12_ours_libero_spatial_task_t7_s3_r1,40,1,1,1,True,1,7,
pg,ours,7,3,2,success,20260817-14:39:35_ours_libero_spatial_task_t7_s3_r2,36,1,1,1,True,1,9,success
pg,ours,7,3,3,policy_fail,20260817-14:41:03_ours_libero_spatial_task_t7_s3_r3,40,4,2,1,False,2,6,
sm,structured,7,3,1,success,20260818-16:04:49_structured_libero_spatial_task_t7_s3_r1,37,2,2,1,False,1,12,success
pg,baseline,7,4,1,policy_fail,20260814-18:36:55_libero_spatial_task_t7_s4,40,3,2,0,False,2,4,
pg,baseline,7,4,2,policy_fail,20260814-22:02:59_baseline_libero_spatial_task_t7_s4_r2,40,1,1,1,False,1,7,
pg,baseline,7,4,3,policy_fail,20260814-22:04:40_baseline_libero_spatial_task_t7_s4_r3,40,2,2,0,False,1,7,
pg,hardcap,7,4,1,success,20260817-17:10:27_hardcap_libero_spatial_task_t7_s4_r1,33,2,1,1,True,2,6,success
pg,hardcap,7,4,2,success,20260817-17:12:07_hardcap_libero_spatial_task_t7_s4_r2,33,2,2,1,True,1,5,success
pg,hardcap,7,4,3,success,20260817-17:13:09_hardcap_libero_spatial_task_t7_s4_r3,30,1,1,1,True,1,4,success
pg,ours,7,4,2,policy_fail,20260817-14:45:05_ours_libero_spatial_task_t7_s4_r2,40,2,2,0,False,1,7,
pg,ours,7,4,1,policy_fail,20260817-14:44:41_ours_libero_spatial_task_t7_s4_r1,40,2,1,0,False,2,6,
pg,ours,7,4,3,success,20260817-14:45:45_ours_libero_spatial_task_t7_s4_r3,36,2,1,1,True,2,9,success
sm,structured,7,4,1,policy_fail,20260818-16:04:52_structured_libero_spatial_task_t7_s4_r1,40,4,0,0,False,,9,failure
pg,baseline,7,5,1,policy_fail,20260814-18:38:33_libero_spatial_task_t7_s5,40,1,1,1,False,1,11,
pg,baseline,7,5,2,success,20260814-22:16:24_baseline_libero_spatial_task_t7_s5_r2,40,1,1,1,True,1,8,
pg,baseline,7,5,3,success,20260814-22:17:53_baseline_libero_spatial_task_t7_s5_r3,40,1,1,1,True,1,8,success
pg,hardcap,7,5,2,success,20260817-17:15:31_hardcap_libero_spatial_task_t7_s5_r2,32,1,1,0,False,1,7,success
pg,hardcap,7,5,3,success,20260817-17:19:50_hardcap_libero_spatial_task_t7_s5_r3,32,1,1,1,True,1,5,success
pg,hardcap,7,5,1,policy_fail,20260817-17:15:07_hardcap_libero_spatial_task_t7_s5_r1,40,1,1,1,False,1,10,
pg,ours,7,5,2,success,20260817-14:48:17_ours_libero_spatial_task_t7_s5_r2,38,1,1,1,True,1,4,success
pg,ours,7,5,1,policy_fail,20260817-14:47:25_ours_libero_spatial_task_t7_s5_r1,40,1,1,1,False,1,8,
pg,ours,7,5,3,success,20260817-14:51:36_ours_libero_spatial_task_t7_s5_r3,40,1,1,1,True,1,9,success
sm,structured,7,5,1,policy_fail,20260818-16:05:43_structured_libero_spatial_task_t7_s5_r1,40,4,3,1,False,2,9,
pg,baseline,7,6,1,policy_fail,20260814-18:43:42_libero_spatial_task_t7_s6,38,1,1,1,True,1,9,success
pg,baseline,7,6,2,policy_fail,20260814-22:31:45_baseline_libero_spatial_task_t7_s6_r2,40,2,1,0,False,2,3,
pg,baseline,7,6,3,policy_fail,20260814-22:32:56_baseline_libero_spatial_task_t7_s6_r3,40,1,1,0,False,1,7,
pg,hardcap,7,6,1,policy_fail,20260817-17:22:09_hardcap_libero_spatial_task_t7_s6_r1,40,1,1,0,False,1,8,
pg,hardcap,7,6,2,policy_fail,20260817-17:22:36_hardcap_libero_spatial_task_t7_s6_r2,40,4,2,0,False,2,6,
pg,hardcap,7,6,3,policy_fail,20260817-17:22:42_hardcap_libero_spatial_task_t7_s6_r3,40,3,1,2,False,2,9,
pg,ours,7,6,1,policy_fail,20260817-14:51:50_ours_libero_spatial_task_t7_s6_r1,40,1,1,1,False,1,9,
pg,ours,7,6,2,policy_fail,20260817-14:52:58_ours_libero_spatial_task_t7_s6_r2,40,1,1,0,False,1,7,
pg,ours,7,6,3,policy_fail,20260817-14:56:26_ours_libero_spatial_task_t7_s6_r3,40,1,1,1,False,1,8,
